"behav";"Bouts";"seconds";"ID";"animal_ID";"gender";"treatment";"genotype";"date";"test.cage";"real.time.start";"dark.start";"project.name"
"Dig";449;93.56;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Drink Spout1";260;230.4;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Drink Spout2";0;0;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Drink Spout3";0;0;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Eat Zone1";913;983.8;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Eat Zone2";0;0;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Eat Zone3";0;0;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Forage";542;127.08;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Groom";271;7028.8;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Hang Cuddled";401;106.84;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Hang Vertically";0;0;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Hang Vertically From HangCuddled";256;69.64;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Hang Vertically From Rear Up";619;159.24;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Jump";198;97.92;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Land Vertically";383;101.64;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"No Data";219;3099.04;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Pause";272;2157.56;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Rear Up";502;131.92;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Rear up From Partially Reared";1774;438.44;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Rear up To Partially Reared";3469;926.28;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Remain Hang Cuddled";310;966.52;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Remain Hang Vertically";656;1108.72;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Remain Low";9704;13263.8;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Remain Partially Reared";2320;2170.76;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Remain RearUp";1327;1013.44;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Repetitive Jumping";13;9.84;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Sleep";20;36585.44;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Sniff";2646;3454.56;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Stationary";92;38.96;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Stretch Body";836;753.08;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Turn";7208;1921.96;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Twitch";444;1121.36;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Unknown Behavior";980;442.16;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Urinate";0;0;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Walk Left";1328;545.96;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Walk Right";1447;625.64;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Walk Slowly";5916;1951.88;"103";"26";"M";"young";"control";"08.09.2015";"4";09:08:00;18:00:00;"Tarabykin"
"Awaken";134;76;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Chew";161;163.04;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Circle";0;0;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Come Down";182;49.64;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Come Down From Partially Reared";1884;511.4;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Come Down To Partially Reared";793;217.92;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Dig";1282;338.52;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Drink Spout1";186;180.84;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Drink Spout2";0;0;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
